y_test,y_pred
3.1,2.8234484
5.7,4.462154
1.75,0.6372537
2.5,1.7919416
4.2,4.3489423
1.8,1.5598961
0.9,1.1396302
1.6,1.6467416
3.0,3.0102012
2.7,2.9168744
0.3,0.8079657
1.7,1.931948
1.31,1.3023328
0.1,0.39581516
3.1,3.215272
1.4,1.3669405
0.2,0.7328886
0.95,1.3125676
1.0,1.4468501
0.8,0.4488616
1.1,1.2543247
2.3,2.0839238
0.72,0.6129683
2.8,2.952693
1.0,1.4418485
1.49,1.8370892
3.0,1.8215535
1.23,1.2602129
4.4,4.4388704
0.71,0.88200694
2.7,2.4118898
3.3,2.7133875
3.4,3.3730605
4.1,4.513372
1.8,2.0639224
1.5,1.7316606
0.64,0.81704277
4.4,4.43904
1.31,0.96533495
4.1,4.4407015
2.3,1.4471605
4.3,4.380959
4.6,4.302893
3.0,2.6671357
1.83,0.7033852
2.5,2.760893
4.8,4.508144
2.6,2.388004
0.45,0.7792308
2.5,2.9083018
1.61,0.99739116
1.3,1.4550619
1.8,1.6760161
2.4,1.9938397
4.4,4.318408
1.04,1.039962
1.4,1.5023336
1.4,1.3435743
1.63,1.6733043
0.36,0.79923403
0.9,0.9419525
1.34,0.7515699
0.4,0.7584049
2.4,2.4321306
1.12,0.9838262
1.4,1.6046469
0.19,0.7908885
1.03,0.6398749
2.6,2.738421
5.0,2.7247214
0.48,0.9840375
0.8,0.5827943
2.5,2.9046454
0.32,0.5300507
1.3,1.1819679
2.5,2.6895316
0.9,1.3240557
0.0,0.54248923
1.4,1.5048711
4.2,4.520522
0.94,0.6415023
2.3,2.1971736
2.88,1.8920028
1.6,1.0862248
0.99,0.7186956
1.2,1.1877313
0.76,0.5521942
0.4,0.65489376
1.36,1.3691638
0.9,0.9705234
1.52,1.0456228
1.2,1.1519397
0.85,1.0161686
4.3,4.448874
1.2,0.9703107
1.76,1.5413892
2.62,1.5389514
2.3,2.5291798
2.8,2.9364316
1.58,1.4153947
1.4,1.4751716
1.16,0.9161288
5.3,4.458217
1.89,1.9313775
4.2,4.3339887
1.25,1.238271
1.5,1.7536263
4.9,4.379816
0.86,1.1440487
0.1,0.5121327
0.4,0.55743587
4.9,4.389798
1.3,1.692424
0.36,0.5944729
1.1,1.3083557
1.2,1.1180091
3.3,3.4203632
0.22,0.8017519
4.3,2.5972078
1.8,1.9378463
0.9,1.1424747
2.8,2.3210368
0.49,0.87147814
2.2,1.1934273
1.0,1.0445408
1.4,1.2474358
2.9,2.10356
0.34,0.47249687
1.04,1.1007856
1.1,1.1201999
2.0,2.227605
1.07,1.5473406
0.52,1.111771
0.96,1.3240407
0.7,1.1103466
1.12,0.82256347
1.9,1.333353
0.8,1.0005171
1.3,1.4390885
4.3,4.4397564
1.4,1.3204511
0.67,0.6548438
3.37,2.3656068
0.71,1.0931194
0.63,1.0322628
0.8,1.1364881
1.36,0.57414055
2.8,2.1819932
4.5,4.345655
0.9,1.0908095
0.68,0.9938687
1.1,0.96885073
1.3,0.6203548
0.7,0.83339417
1.13,1.0128547
0.37,1.1510183
1.22,1.191458
1.0,1.4259661
1.18,1.3611519
1.29,1.5867988
0.75,1.06104
4.6,4.5790014
0.67,0.6741417
1.07,0.62402886
0.6,1.1683782
0.6,0.83987015
1.4,1.4201335
1.9,1.4683578
2.3,1.5787331
0.5,1.2589447
0.97,1.24887
1.06,0.98567
1.77,1.4134549
0.1,0.42380705
0.7,0.7317206
4.1,2.4573908
0.04,0.613411
4.2,4.430035
4.1,4.5523925
0.65,0.6835963
1.9,1.3093346
2.0,2.2626884
0.02,0.7836843
1.71,1.5245616
1.27,1.4601407
1.6,1.7373863
0.6,1.033212
1.7,1.4853129
0.76,1.5189873
1.82,1.6196309
1.19,1.1433983
1.22,1.4111944
1.18,0.6693987
1.0,1.2400274
1.3,1.3372651
1.0,1.5584364
0.58,0.79782915
2.5,2.787765
1.3,1.6640402
1.1,1.4043977
0.4,0.8509402
1.83,1.945453
1.59,1.893403
2.1,2.642408
0.7,1.4187973
0.43,0.9215047
2.1,2.4966104
2.0,2.1957042
1.25,1.3722978
1.3,1.4097321
4.3,4.7450347
0.76,1.2215565
1.63,1.33736
1.84,1.9255255
0.52,0.7908885
0.8,1.1071336
2.0,1.6080492
4.3,4.4208765
1.24,0.8616496
4.2,4.5472283
0.4,0.59365004
0.73,0.98085916
1.0,1.3155961
0.8,0.7946167
1.11,1.0577407
2.4,2.4440844
2.2,1.3861895
1.0,0.95267814
0.4,0.5856049
2.5,2.895849
2.0,1.3667341
0.39,0.86397076
2.8,2.7720933
1.1,1.3648113
1.28,0.7583927
1.1,1.4751854
1.18,0.62116647
4.8,5.010017
4.5,4.3630548
0.78,1.0495965
4.6,4.4071245
1.1,1.3784717
0.42,1.4700983
2.7,2.7657897
0.7,0.55979234
1.2,1.5614014
1.1,1.3478491
4.8,4.359105
1.13,1.1178509
4.0,2.7143142
4.8,4.613469
0.4,0.6577826
4.9,4.502359
1.2,1.5096722
1.6,1.5500722
0.71,1.0476612
4.6,4.3489976
2.7,2.7744417
0.94,1.3353792
4.5,4.452036
2.3,2.1530073
4.0,4.2526045
3.0,2.282144
0.92,1.320971
1.21,0.9138149
0.1,0.5662033
4.3,4.936453
4.4,4.3343406
0.88,1.2272075
1.7,1.9911276
4.2,4.325855
1.5,1.5109929
3.4,3.4583147
0.85,0.93106174
0.6,0.6573812
4.7,4.438115
0.6,0.5456261
1.97,1.4472198
1.9,1.5585146
1.52,1.812377
2.7,2.7098944
4.6,4.5587997
1.6,1.6018062
1.8,2.8991678
3.8,2.917888
1.0,1.1162691
1.03,1.0030955
1.07,1.0451853
1.52,1.2879018
4.4,4.766424
0.25,0.7636149
0.7,0.6750875
0.48,0.930757
0.0,0.37301707
1.68,1.3379998
0.36,0.66670734
0.33,0.49261183
2.1,2.201807
1.8,2.1276243
2.14,1.7744892
1.4,2.0921512
4.3,4.5201526
0.3,0.45020288
1.46,1.3190676
2.8,2.5422451
4.0,4.682858
1.4,1.2066857
4.2,4.3702593
0.59,0.89037234
0.91,1.2014248
0.68,1.1622092
1.8,0.8710028
1.8,1.3094712
0.98,1.33736
1.23,1.5439485
4.1,4.411403
1.5,1.3707126
4.9,4.469807
